the|는
mess|엉망
conferencing|회의
assign|할당하다
armstrong|암스트롱
politicians|정치인
trackbacks|트랙백
lit|불을 붙였다
accommodate|수용하다
tigers|호랑이
aurora|오로라
una|우나
slides|슬라이드
milan|밀라노
premiere|초연
lender|대출 기관
villages|마을
shade|그늘
chorus|합창
christine|크리스틴
rhythm|리듬
digit|숫자
argued|주장하다
dietary|식이 요법
symphony|교향곡
clarke|클라크
sudden|갑자기
accepting|수락
precipitation|강수량
marilyn|마릴린
lions|사자
findlaw|핀드로
ada|에이다
pools|수영장
lyric|가사
claire|클레어
isolation|격리
speeds|속도
sustained|지속적인
matched|일치
approximate|대략적인
rope|로프
carroll|캐롤
rational|합리적
programmer|프로그래머
fighters|전투기
chambers|방
dump|덤프
greetings|인사
inherited|물려받은
warming|온난화
incomplete|불완전한
vocals|보컬
chronicle|연대기
fountain|분수
chubby|통통한
grave|무덤
legitimate|합법적인
biographies|전기
burner|버너
yrs|년
foo|푸
investigator|수사관
gba|GBA
plaintiff|원고
finnish|핀란드의
gentle|온화한
prisoners|죄수
deeper|더 깊게
muslims|무슬림
hose|호스
mediterranean|지중해
nightlife|밤의 유흥
footage|영상
howto|노하우
worthy|가치 있는
reveals|공개하다
architects|건축가
saints|성도
entrepreneur|기업가
carries|운반하다
sig|시그
freelance|프리랜서
duo|듀오
excessive|과도한
devon|데본
screensaver|화면 보호기
helena|헬레나
saves|저장
regarded|간주
valuation|평가
unexpected|예상치 못한
cigarette|담배
fog|안개
characteristic|특징
marion|매리언
lobby|로비
egyptian|이집트 사람
tunisia|튀니지
metallica|메탈리카
outlined|설명
consequently|결과적으로
headline|헤드라인
treating|치료하다
punch|펀치
appointments|약속
gotta|해야 해
cowboy|카우보이
narrative|이야기
bahrain|바레인
enormous|거대한
karma|카르마
consist|구성하다
betty|베티
queens|여왕
academics|학자
pubs|술집
quantitative|양적
lucas|루카스
screensavers|화면 보호기
subdivision|세분
tribes|부족
vip|VIP
defeat|패배
clicks|클릭수
distinction|구별
honduras|온두라스
naughty|장난꾸러기
hazards|위험
insured|보험에 가입하다
harper|하퍼
livestock|가축
mardi|마디
exemption|면제
tenant|세입자
sustainability|지속 가능성
cabinets|캐비닛
tattoo|문신
shake|흔들어
algebra|대수학
shadows|그림자
holly|홀리
formatting|서식 지정
silly|바보 같은
nutritional|영양가 있는
yea|응
mercy|자비
hartford|하트퍼드
freely|자유롭게
marcus|마커스
sunrise|일출
wrapping|포장
mild|온화한
fur|모피
nicaragua|니카라과
weblogs|웹로그
timeline|타임라인
tar|타르
belongs|속한다
readily|쉽게
affiliation|소속
soc|사회
fence|울타리
nudist|나체주의자
infinite|무한
diana|다이애나
ensures|보장
relatives|친척
lindsay|린지
clan|클랜
legally|합법적으로
shame|수치심
satisfactory|만족스러운
revolutionary|혁명적
bracelets|팔찌
sync|동기화
civilian|민간인
telephony|전화 통신
mesa|메사
fatal|치명적인
remedy|구제책
realtors|부동산업자
breathing|호흡
briefly|간단히
thickness|두께
adjustments|조정
graphical|그래픽
genius|천재
discussing|토론
aerospace|항공우주
fighter|전투기
meaningful|의미있는
flesh|육체
retreat|후퇴
adapted|적응된
barely|간신히
wherever|어디든
estates|부동산
rug|깔개
democrat|민주당
borough|자치구
maintains|유지하다
failing|실패
shortcuts|단축키
retained|유지
voyeurweb|도촬웹
pamela|파멜라
andrews|앤드류스
marble|대리석
extending|연장
jesse|제시
specifies|지정하다
hull|선체
logitech|로지텍
surrey|서리
briefing|브리핑
belkin|벨킨
dem|뎀
accreditation|인정
wav|웨이브
blackberry|블랙베리
highland|고지
meditation|명상
modular|모듈식
microphone|마이크
macedonia|마케도니아
combining|결합
brandon|브랜든
instrumental|악기
giants|거인
organizing|조직
shed|창고
balloon|풍선
moderators|중재자
winston|윈스턴
memo|메모
ham|햄
solved|해결됨
tide|조수
kazakhstan|카자흐스탄
hawaiian|하와이 사람
standings|순위
partition|파티션
invisible|보이지 않는
gratuit|무료
consoles|콘솔
funk|펑크
fbi|FBI
qatar|카타르
magnet|자석
translations|번역
porsche|포르쉐
cayman|케이맨
jaguar|재규어
reel|릴
sheer|얇은
commodity|상품
posing|포즈를 취하는
kilometers|킬로미터
bind|바인딩
thanksgiving|추수감사절
rand|랜드
hopkins|홉킨스
urgent|긴급
guarantees|보증
infants|유아
gothic|고딕
cylinder|실린더
witch|마녀
buck|책임
indication|표시
congratulations|축하합니다
tba|트바
cohen|코헨
sie|씨
usgs|usgs
puppy|강아지
kathy|캐시
acre|에이커
graphs|그래프
surround|서라운드
cigarettes|담배
revenge|복수
expires|만료
enemies|적
lows|최저
controllers|컨트롤러
aqua|아쿠아
chen|첸
emma|엠마
consultancy|컨설팅
finances|재정
accepts|받아들인다
enjoying|즐기는
conventions|컨벤션
eva|에바
patrol|순찰
smell|냄새
pest|해충
italiano|이탈리아 사람
coordinates|좌표
rca|RCA
carnival|카니발
roughly|대충
sticker|스티커
promises|약속
responding|응답
reef|암초
physically|육체적으로
divide|나누다
stakeholders|이해관계자
hydrocodone|하이드로코돈
consecutive|연속적인
cornell|코넬
satin|새틴
bon|봉
deserve|자격이 있다
attempting|시도하다
mailto|메일토
promo|프로모션
representations|표현
chan|찬
worried|걱정하다
tunes|곡
garbage|쓰레기
competing|경쟁하다
combines|결합하다
mas|마스
beth|베스
bradford|브래드포드
len|렌
phrases|문구
kai|카이
peninsula|반도
chelsea|첼시
boring|지루한
reynolds|레이놀즈
dom|돔
jill|질
accurately|정확하게
speeches|연설
reaches|도달하다
schema|스키마
considers|고려하다
sofa|소파
catalogs|카탈로그
ministries|사역
vacancies|공석
quizzes|퀴즈
parliamentary|의회
obj|객체
prefix|접두사
lucia|루시아
savannah|사바나
barrel|배럴
typing|타이핑
nerve|신경
dans|단스
planets|행성
deficit|적자
boulder|둥근 돌
pointing|가리키는
renew|갱신
coupled|결합된
viii|viii
myanmar|미얀마
metadata|메타데이터
harold|해롤드
circuits|회로
floppy|플로피
texture|질감
handbags|핸드백
jar|항아리
somerset|서머셋
incurred|발생
acknowledge|인정하다
thoroughly|철저하게
antigua|안티구아
nottingham|노팅엄
thunder|천둥
tent|텐트
caution|주의
identifies|식별하다
questionnaire|설문지
qualification|자격
locks|자물쇠
modelling|모델링
namely|즉
miniature|미니어처
dept|부서
hack|해킹
dare|감히
euros|유로
interstate|주간 고속도로
pirates|해적
aerial|공중선
hawk|매
consequence|결과
rebel|반란군
systematic|체계적인
perceived|인지된
origins|기원
hired|고용된
makeup|메이크업
textile|직물
lamb|양고기
madagascar|마다가스카르
nathan|네이선
tobago|토바고
presenting|발표
cos|왜냐면
troubleshooting|문제 해결
uzbekistan|우즈베키스탄
indexes|인덱스
pac|팩
erp|어프
centuries|세기
magnitude|크기
richardson|리처드슨
hindu|힌두인
fragrances|향수
vocabulary|어휘
licking|핥는
earthquake|지진
fundraising|모금 활동
markers|마커
weights|무게
albania|알바니아
geological|지질학상의
assessing|평가
lasting|지속적인
wicked|사악한
eds|eds
introduces|소개하다
kills|죽인다
roommate|룸메이트
webcams|웹캠
pushed|밀린
webmasters|웹마스터
computational|계산적인
acdbentity|성실함
participated|참여했다
junk|정크
handhelds|휴대용
wax|왁스
lucy|루시
answering|응답
hans|한스
impressed|감동
slope|경사
reggae|레게
failures|실패
poet|시인
conspiracy|음모
surname|성
theology|신학
nails|손톱
evident|명백한
whats|뭐야?
rides|놀이기구
rehab|재활
epic|서사시
saturn|토성
organizer|주최자
nut|너트
allergy|알레르기
sake|술
twisted|꼬인
combinations|조합
preceding|이전
merit|장점
enzyme|효소
cumulative|누적
zshops|z상점
planes|비행기
edmonton|에드먼턴
tackle|태클
disks|디스크
condo|콘도
pokemon|포켓몬
amplifier|증폭기
ambien|분위기
arbitrary|임의의
prominent|눈에 띄는
retrieve|회수하다
lexington|렉싱턴
vernon|버논
sans|샌즈
worldcat|월드캣
titanium|티타늄
irs|국세청
fairy|요정
builds|빌드
contacted|연락했다
shaft|샤프트
lean|기대다
bye|안녕
recorders|레코더
occasional|가끔
leslie|레슬리
casio|카시오
deutsche|독일인
ana|아나
postings|게시물
innovations|혁신
kitty|고양이
postcards|엽서
dude|친구
drain|배수구
monte|몬테
fires|화재
algeria|알제리
blessed|축복받은
luis|루이스
reviewing|검토 중
cardiff|카디프
cornwall|콘월
favors|호의
potato|감자
panic|공황
explicitly|명시적으로
sticks|막대기
leone|리온
transsexual|성전환
citizenship|시민권
excuse|변명하다
reforms|개혁
basement|지하실
onion|양파
strand|가닥
sandwich|샌드위치
lawsuit|소송
alto|알토
informative|유익한
girlfriend|여자친구
bloomberg|블룸버그
cheque|확인
hierarchy|계층 구조
influenced|영향을 받은
banners|배너
reject|거절하다
eau|오
abandoned|버려진
circles|서클
italic|이탤릭체
beats|박자
merry|메리
mil|밀
scuba|스쿠버
gore|고어
complement|보완하다
cult|컬트
dash|대시
passive|수동적
mauritius|모리셔스
valued|가치 있는
cage|케이지
checklist|체크리스트
requesting|요청
courage|용기
verde|베르데
lauderdale|로더데일
scenarios|시나리오
gazette|공보
hitachi|히타치
divx|divx
extraction|추출
batman|배트맨
elevation|고도
hearings|청문회
coleman|콜맨
hugh|휴
lap|무릎
utilization|활용
beverages|음료수
calibration|교정
jake|제이크
eval|평가
efficiently|효율적으로
anaheim|애너하임
ping|핑
textbook|교과서
dried|건조
entertaining|재미있는
prerequisite|전제 조건
luther|루터
frontier|국경
settle|정착하다
stopping|중지
refugees|난민
knights|기사
hypothesis|가설
palmer|팔머
medicines|의약품
flux|플럭스
derby|더비
sao|사오
peaceful|평화로운
altered|변경된
pontiac|폰티악
regression|회귀
doctrine|교리
scenic|경치 좋은
trainers|트레이너
muze|뮤즈
enhancements|개선 사항
renewable|재생 가능
intersection|교차로
passwords|비밀번호
sewing|바느질
consistency|일관성
collectors|수집가
conclude|결론을 내리다
recognised|인식됨
munich|뮌헨
oman|오만
celebs|유명인
propose|제안하다
azerbaijan|아제르바이잔
lighter|라이터
rage|분노
adsl|광고
prix|상
astrology|점성술
advisors|고문
pavilion|파빌리온
tactics|전술
trusts|신탁
occurring|발생
supplemental|보충
travelling|여행
talented|재능있는
annie|애니
pillow|베개
induction|유도
derek|데릭
precisely|정확하게
shorter|더 짧은
harley|할리
spreading|퍼짐
provinces|지방
relying|의존
finals|결승전
paraguay|파라과이
steal|훔치다
parcel|소포
refined|세련된
fifteen|열다섯
widespread|널리 퍼진
incidence|발병률
fears|두려움
predict|예측하다
boutique|부티크
acrylic|아크릴
rolled|압연
tuner|튜너
avon|에이번
incidents|사건
peterson|피터슨
rays|광선
asn|asn
shannon|섀넌
toddler|유아
enhancing|향상
flavor|풍미
alike|똑같이
walt|월트
homeless|노숙자
horrible|끔찍한
hungry|배고픈
metallic|금속성
acne|여드름
blocked|차단됨
interference|간섭
warriors|전사
palestine|팔레스타인
listprice|정가
libs|라이브러리
undo|실행 취소
cadillac|캐딜락
atmospheric|대기
malawi|말라위
sagem|사젬
knowledgestorm|지식폭풍
dana|다나
halo|후광
curtis|커티스
parental|부모의
referenced|참조됨
strikes|파업
lesser|덜
publicity|홍보
marathon|마라톤
ant|개미
proposition|제안
gays|게이
pressing|누르는 것
gasoline|가솔린
apt|적절한
dressed|옷을 입고
scout|스카우트
belfast|벨파스트
exec|간부
dealt|다루다
niagara|나이아가라 폭포
inf|inf
eos|에오스
warcraft|워크래프트
charms|매력
catalyst|촉매
trader|상인
bucks|달러
allowance|수당
denial|부정
uri|우리
designation|지정
thrown|던져진
prepaid|선불
raises|인상
gem|보석
duplicate|중복
electro|전기
criterion|기준
badge|배지
wrist|손목
civilization|문명
analyzed|분석됨
vietnamese|베트남 사람
heath|히스
tremendous|엄청난
ballot|투표용지
lexus|렉서스
varying|다양한
remedies|구제책
validity|타당성
trustee|수탁자
maui|마우이
weighted|가중
angola|앙골라
performs|수행하다
plastics|플라스틱
realm|영역
corrected|수정됨
jenny|제니
helmet|헬멧
salaries|급여
postcard|엽서
elephant|코끼리
yemen|예멘
encountered|마주친
tsunami|쓰나미
scholar|학자
nickel|니켈
internationally|국제적으로
surrounded|포위
psi|psi
buses|버스
expedia|익스피디아
geology|지질학
creatures|생물
coating|코팅
commented|댓글을 달았습니다
wallet|지갑
cleared|삭제됨
smilies|웃음
vids|동영상
accomplish|성취하다
boating|보트 타기
drainage|배수
shakira|샤키라
corners|모서리
broader|더 넓게
vegetarian|채식주의자
rouge|루즈
yeast|효모
yale|예일
newfoundland|뉴펀들랜드
pas|파스
clearing|청산
investigated|조사됨
ambassador|대사
coated|코팅
intend|의도하다
stephanie|스테파니
contacting|연락하다
vegetation|식물
doom|운명
findarticles|기사 찾기
louise|루이스
kenny|케니
specially|특별히
owen|오웬
routines|루틴
hitting|타격
yukon|유콘
beings|존재들
bite|물다
issn|issn
aquatic|물의
reliance|의존
habits|습관
striking|눈에 띄는
myth|신화
infectious|전염성이 있는
podcasts|팟캐스트
singh|싱
gig|공연
gilbert|길버트
sas|사스
ferrari|페라리
continuity|연속성
brook|시내
outputs|출력
phenomenon|현상
ensemble|앙상블
insulin|인슐린
assured|확신하다
biblical|성경의
weed|잡초
conscious|의식이 있는
accent|악센트
mysimon|마이시몬
eleven|열한
wives|아내
ambient|주변
utilize|활용하다
mileage|마일리지
oecd|OECD
prostate|전립선
adaptor|어댑터
auburn|적갈색
unlock|잠금을 해제하다
hyundai|현대
pledge|서약
vampire|뱀파이어
angela|안젤라
relates|관련이 있다
nitrogen|질소
xerox|제록스
dice|주사위
merger|합병
softball|소프트볼
referrals|추천
quad|쿼드
dock|독
differently|다르게
firewire|파이어와이어
mods|모드
nextel|넥스텔
framing|프레이밍
organised|조직적인
musician|음악가
blocking|차단
rwanda|르완다
sorts|종류
integrating|통합
vsnet|vsnet
limiting|제한
dispatch|파견
revisions|개정
papua|파푸아
restored|복원됨
hint|힌트
armor|갑옷
riders|라이더
chargers|충전기
remark|비고
dozens|수십
varies|다양하다
msie|msie
reasoning|추론
liz|리즈
rendered|렌더링됨
picking|따기
charitable|자선
guards|경비원
annotated|주석이 달린
convinced|확신하다
openings|개구부
buys|구매
burlington|벌링턴
replacing|교체
researcher|연구원
watershed|유역
councils|평의회
occupations|직업
acknowledged|인정하다
kruger|크루거
pockets|주머니
granny|할머니
pork|돼지고기
equilibrium|평형
viral|바이러스 성
inquire|문의하다
pipes|파이프
characterized|특성화된
laden|짐을 실은
aruba|아루바
cottages|코티지
realtor|부동산 중개인
merge|병합
privilege|특권
edgar|에드가
develops|발전하다
qualifying|자격을 갖춘
chassis|섀시
dubai|두바이
estimation|추정
barn|헛간
pushing|밀고
fleece|양털
pediatric|소아과
boc|밥
fare|운임
asus|아수스
pierce|피어싱
allan|앨런
dressing|드레싱
techrepublic|기술공화국
sperm|정자
bald|대머리의
filme|영화
craps|쓰레기
fuji|후지
frost|서리
leon|레온
institutes|연구소
mold|곰팡이
dame|부인
sally|샐리
yacht|요트
tracy|트레이시
prefers|선호한다
drilling|드릴링
brochures|브로셔
herb|허브
alot|많이
ate|먹었다
breach|위반
whale|고래
traveller|여행자
appropriations|예산
suspected|의심되는
tomatoes|토마토
benchmark|벤치마크
beginners|초보자
instructors|강사
highlighted|강조 표시됨
bedford|베드퍼드
stationery|문구류
idle|유휴
mustang|머스탱
unauthorized|허가받지 않은
clusters|클러스터
antibody|항체
competent|유능한
momentum|추진력
fin|지느러미
wiring|배선
pastor|목사
mud|진흙
calvin|칼빈
uni|유니
shark|상어
contributor|기여자
demonstrates|시연하다
phases|단계
grateful|감사하다
emerald|에메랄드
gradually|점차적으로
laughing|웃고있다
grows|자라다
cliff|절벽
desirable|바람직한
tract|전도지
ballet|발레
journalist|저널리스트
abraham|아브라함
bumper|범퍼
afterwards|나중에
webpage|웹페이지
religions|종교
garlic|마늘
hostels|호스텔
shine|빛나다
senegal|세네갈
explosion|폭발
banned|금지된
wendy|웬디
briefs|적요
signatures|서명
diffs|차이점
cove|후미
mumbai|뭄바이
ozone|오존
disciplines|학문
casa|카사
daughters|딸들
conversations|대화
radios|라디오
tariff|관세
nvidia|엔비디아
opponent|상대
pasta|파스타
simplified|단순화된
muscles|근육
serum|혈청
wrapped|감싸인
swift|스위프트
motherboard|마더보드
runtime|런타임
inbox|받은편지함
focal|초점
bibliographic|서지
eden|에덴
distant|먼
incl|포함
champagne|샴페인
ala|알라
decimal|십진수
deviation|편차
superintendent|교육감
propecia|프로페시아
dip|딥
samba|삼바
hostel|호스텔
housewives|주부
employ|고용하다
mongolia|몽골
penguin|펭귄
magical|마법 같은
influences|영향을 끼친다
inspections|검사
irrigation|관개
miracle|기적
manually|수동으로
reprint|재판
reid|리드
hydraulic|유압
centered|중심
robertson|로버트슨
flex|플렉스
yearly|매년
penetration|침투
wound|상처
belle|미인
rosa|로사
conviction|신념
hash|해시
omissions|누락
writings|저서
hamburg|함부르크
lazy|게으른
retrieval|검색
qualities|자질
cindy|신디
fathers|아버지
carb|탄수화물
charging|충전 중
cas|카스
marvel|놀라운 일
lined|안을 댄
cio|시오
dow|다우
prototype|프로토타입
importantly|중요한 것은
petite|몸집이 작은
apparatus|장치
upc|업
terrain|지형
dui|음주운전
pens|펜
explaining|설명하다
yen|엔
strips|스트립
gossip|가십
rangers|레인저스
nomination|지명
empirical|경험적
rotary|회전하는
worm|벌레
dependence|의존
discrete|이산적인
beginner|초보자
boxed|박스형
lid|뚜껑
sexuality|성적 취향
polyester|폴리에스테르
cubic|큐빅
deaf|귀머거리
commitments|약속
suggesting|제안
sapphire|사파이어
kinase|키나제
skirts|스커트
mats|매트
remainder|나머지
crawford|크로포드
labeled|라벨이 붙은
privileges|특권
televisions|텔레비전
specializing|전문적으로
marking|마킹
commodities|상품
serbia|세르비아
sheriff|보안관
griffin|그리핀
declined|거절하다
guyana|가이아나
spies|스파이
blah|어쩌구
mime|마임
neighbor|이웃
motorcycles|오토바이
elect|선출하다
highways|고속도로
thinkpad|씽크패드
concentrate|집중하다
intimate|친밀한
reproductive|생식
preston|프레스턴
deadly|치명적인
feof|feof
bunny|토끼
chevy|시보레
molecules|분자
rounds|라운드
longest|가장 긴
refrigerator|냉장고
tions|의견
intervals|간격
sentences|문장
dentists|치과 의사
usda|우다
exclusion|제외
workstation|워크스테이션
holocaust|대학살
keen|예리한
flyer|전단지
peas|완두콩
dosage|복용량
receivers|수신기
urls|URL
customise|사용자 정의
disposition|처분
variance|차이
navigator|네비게이터
investigators|수사관
cameroon|카메룬
baking|베이킹
marijuana|마리화나
adaptive|적응형
computed|계산된
needle|바늘
baths|목욕탕
enb|엔비
cathedral|대성당
brakes|브레이크
nirvana|너바나
fairfield|페어필드
owns|소유하다
til|그때까지
invision|비전
sticky|끈적끈적한
destiny|운명
generous|관대한
madness|광기
emacs|이맥스
climb|오르다
blowing|불고
fascinating|매혹적인
landscapes|풍경
heated|가열
lafayette|라파예트
jackie|재키
wto|WTO
computation|계산
hay|건초
cardiovascular|심혈관
sparc|스파크
cardiac|심장의
salvation|구원
dover|도버
adrian|아드리안
predictions|예측
accompanying|동반
vatican|바티칸
brutal|잔인한
learners|학습자
selective|선택적
arbitration|중재
configuring|구성
token|토큰
editorials|사설
zinc|아연
sacrifice|희생
seekers|구직자
guru|전문가
isa|이사
removable|이동식
convergence|수렴
yields|수확량
gibraltar|지브롤터
levy|부과
suited|적합하다
numeric|숫자
anthropology|인류학
skating|스케이팅
kinda|좀
aberdeen|애버딘
emperor|황제
grad|졸업생
malpractice|과실
dylan|딜런
bras|브래지어
belts|벨트
blacks|흑인
educated|교육받은
rebates|리베이트
reporters|기자
burke|버크
proudly|자랑스럽게
pix|픽스
necessity|필요성
rendering|렌더링
mic|마이크
inserted|삽입됨
pulling|당기는
basename|기본 이름
kyle|카일
obesity|비만
curves|곡선
suburban|교외
touring|여행
clara|클라라
vertex|정점
hepatitis|간염
nationally|전국적으로
tomato|토마토
andorra|안도라
waterproof|방수
expired|만료됨
travels|여행
flush|플러시
waiver|포기
pale|창백한
specialties|특산품
hayes|헤이즈
humanitarian|인도주의적인
invitations|초대장
functioning|기능하는
delight|기쁨
survivor|생존자
garcia|가르시아
cingular|대상의
economies|경제
alexandria|알렉산드리아
bacterial|박테리아
moses|모세
counted|계산
undertake|맡다
declare|선언하다
continuously|지속적으로
johns|존스
valves|밸브
gaps|틈
impaired|손상된
achievements|업적
donors|기증자
tear|찢다
jewel|보석
teddy|테디
convertible|컨버터블
ata|아타
teaches|가르치다
ventures|벤처
nil|전혀
bufing|버핑
stranger|낯선 사람
tragedy|비극
julian|줄리안
nest|둥지
pam|팸
dryer|건조기
painful|고통스러운
velvet|벨벳
tribunal|재판소
ruled|지배하다
nato|나토
pensions|연금
prayers|기도
funky|펑키
secretariat|사무국
nowhere|아무데도
cop|경찰
paragraphs|단락
gale|강풍
joins|조인
adolescent|청소년
nominations|지명
wesley|웨슬리
dim|희미한
lately|요즘
cancelled|취소됨
scary|무서운
mattress|매트리스
mpegs|mpeg
brunei|브루나이
likewise|마찬가지로
banana|바나나
introductory|입문
slovak|슬로바키아어
cakes|케이크
stan|스탠
reservoir|저수지
occurrence|발생
idol|아이돌
mixer|믹서
remind|생각나게 하다
worcester|우스터
demographic|인구통계학적
charming|매력적인
mai|마이
tooth|치아
disciplinary|징계
annoying|짜증나는
respected|존경받는
stays|숙박
disclose|공개하다
affair|불륜
drove|운전하다
washer|세탁기
upset|당황하다
restrict|제한하다
springer|스프링거
beside|옆에
mines|광산
portraits|초상화
rebound|리바운드
logan|로건
mentor|멘토
interpreted|통역
evaluations|평가
fought|싸웠다
baghdad|바그다드
elimination|제거
metres|미터
hypothetical|가상의
immigrants|이민자
complimentary|무료
helicopter|헬리콥터
pencil|연필
freeze|얼다
performer|수행자
abu|아부
titled|제목이 붙은
commissions|커미션
sphere|구체
powerseller|파워셀러
moss|이끼
ratios|비율
concord|콩코드
graduated|졸업하다
endorsed|승인
surprising|놀라운
walnut|호두
lance|창
ladder|사다리
italia|이탈리아
unnecessary|불필요한
dramatically|극적으로
liberia|라이베리아
sherman|셔먼
cork|코르크
maximize|최대화하다
hansen|한센
senators|상원의원
workout|운동
mali|말리
yugoslavia|유고슬라비아
bleeding|출혈
characterization|특성화
colon|콜론
likelihood|가능성
lanes|차선
purse|지갑
fundamentals|기본
contamination|오염
endangered|멸종 위기에 처한
compromise|타협
optimize|최적화하다
stating|진술하다
dome|돔
caroline|캐롤라인
leu|레우
expiration|만료
namespace|네임스페이스
align|정렬
peripheral|주변
bless|축복하다
engaging|매력적인
negotiation|협상
crest|문장
opponents|상대방
triumph|승리
nominated|지명됨
confidentiality|기밀 유지
electoral|선거인
changelog|변경 내역
welding|용접
deferred|연기된
alternatively|대안적으로
heel|뒤꿈치
alloy|합금
condos|콘도
plots|플롯
polished|광택이 나는
yang|양
gently|부드럽게
greensboro|그린즈버러
tulsa|툴사
locking|잠금
casey|케이시
controversial|논쟁의 여지가 있는
draws|무승부
fridge|냉장고
blanket|담요
bloom|개화하다
simpsons|심슨
lou|루
elliott|엘리엇
recovered|회복됨
fraser|프레이저
justify|정당화하다
upgrading|업그레이드
blades|블레이드
loops|루프
surge|급증
frontpage|첫 페이지
trauma|외상
tahoe|타호
advert|광고하다
possess|소유하다
demanding|요구하는
defensive|방어적인
sip|한 모금
flashers|점멸등
subaru|스바루
forbidden|금지된
vanilla|바닐라
programmers|프로그래머
monitored|모니터링됨
installations|설치
deutschland|독일
picnic|피크닉
souls|영혼
arrivals|도착
spank|엉덩이를 때리다
practitioner|개업의
motivated|동기 부여
dumb|멍청한
smithsonian|스미소니언의
hollow|속이 빈
vault|금고
securely|안전하게
examining|검사
fioricet|불독
groove|그루브
revelation|계시
pursuit|추격
delegation|위임
wires|전선
dictionaries|사전
mails|메일
backing|후원
greenhouse|온실
sleeps|잔다
blake|블레이크
transparency|투명성
dee|디
travis|트래비스
endless|끝없는
figured|생각하다
orbit|궤도
currencies|통화
niger|니제르
bacon|베이컨
survivors|생존자
positioning|포지셔닝
heater|히터
colony|식민지
cannon|대포
circus|서커스
promoted|승진하다
forbes|포브스
mae|매
moldova|몰도바
mel|멜
descending|내림차순
paxil|팍실
spine|척추
trout|송어
enclosed|동봉된
feat|위업
temporarily|일시적으로
cooked|요리
